replicate,lengthscale,precon,nugget,m,iteration,value,method
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,40,0.001317127787285413,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,41,0.0013171088651593118,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,42,0.0013170927645502187,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,43,0.0013170780667914601,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,44,0.001317065827635752,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,45,0.0013170565509458018,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,46,0.001317047642179474,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,47,0.001317039802152309,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,48,0.0013170333732686174,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,49,0.0013170278185280202,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,50,0.0013170229370416703,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,51,0.0013170187443150032,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,52,0.0013170148656263545,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,53,0.001317011958433656,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,54,0.0013170094931688936,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,55,0.0013170070502272928,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,56,0.0013170050406269194,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,57,0.0013170034218240698,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,58,0.0013170019009828167,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,59,0.0013170005806474787,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,60,0.0013169994848066908,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,61,0.0013169985903673717,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,62,0.0013169978525389501,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,63,0.0013169971355613918,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,64,0.0013169964724940684,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,65,0.0013169959082094617,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,66,0.0013169954003660427,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,67,0.0013169949408652205,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,68,0.0013169945581314052,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,69,0.0013169942176337688,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,70,0.0013169939179186454,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,71,0.0013169936596047292,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,72,0.0013169934283186733,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,73,0.0013169932371089898,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,74,0.0013169930581049987,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,75,0.001316992899456565,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,76,0.0013169927670242541,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,77,0.0013169926528808652,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,78,0.001316992551080435,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,79,0.0013169924756980956,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,80,0.0013169924004758744,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,81,0.001316992327722492,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,82,0.0013169922629852825,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,83,0.0013169922013506472,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,84,0.0013169921501056307,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,85,0.001316992106934387,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,86,0.0013169920672972068,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,87,0.0013169920344108911,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,88,0.0013169920075438006,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,89,0.001316991981505513,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,90,0.001316991957132505,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,91,0.0013169919346094773,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,92,0.0013169919140904576,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,93,0.001316991896001428,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,94,0.0013169918796952962,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,95,0.0013169918669027692,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,96,0.0013169918557049932,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,97,0.001316991844675544,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,98,0.0013169918344696399,pcg
0,2.718281828459045,RandomisedEVD,0.1353352832366127,200,99,0.0013169918244922564,pcg
